Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
C.J. Beathard,JAX,30,QB,4,0,3,-2,0,0,0.0,0,-0.7,-0.5,0
Tim Boyle,NYJ,29,QB,2,1,3,3,0,2,66.7,2,1.0,1.5,2
DeAndre Carter,LVR,30,WR,12,1,3,18,0,2,66.7,15,6.0,1.5,1
Ja'Marr Chase,CIN,23,WR,11,11,3,-6,0,0,0.0,2,-2.0,-0.5,1
Brandin Cooks,DAL,30,WR,11,10,3,23,0,1,66.7,14,7.7,2.1,1
Andy Dalton,CAR,36,QB,3,1,3,12,0,2,66.7,10,4.0,4.0,0
Tyreek Hill,MIA,29,WR,11,11,3,19,0,1,33.3,14,6.3,1.7,1
Brian Hoyer,LVR,38,QB,3,1,3,-3,0,0,0.0,-1,-1.0,-1.0,0
Cole Kmet,CHI,24,TE,12,12,3,2,0,2,66.7,1,0.7,0.2,1
Zonovan Knight,DET,22,RB,2,0,3,13,0,0,33.3,8,4.3,6.5,0
Hunter Luepke,DAL,23,RB,12,0,3,13,1,2,66.7,9,4.3,1.1,0
Isaiah McKenzie,IND,28,WR,11,0,3,14,0,0,33.3,7,4.7,1.3,2
Jakobi Meyers,LVR,27,WR,11,11,3,19,1,2,66.7,17,6.3,1.7,0
Skyy Moore,KAN,23,WR,11,6,3,23,0,1,100.0,11,7.7,2.1,0
Puka Nacua,LAR,22,WR,11,11,3,11,0,2,66.7,7,3.7,1.0,1
Devine Ozigbo,DET,27,RB,3,0,3,5,0,1,66.7,4,1.7,1.7,0
Brett Rypien,LAR,27,QB,2,1,3,19,0,1,66.7,8,6.3,9.5,2
Amon-Ra St. Brown,DET,24,WR,10,10,3,13,0,1,66.7,6,4.3,1.3,1
Mitchell Trubisky,PIT,29,QB,2,0,3,18,0,1,100.0,8,6.0,9.0,0
Jameis Winston,NOR,29,QB,4,0,3,-4,0,0,0.0,-1,-1.3,-1.0,0
Keenan Allen,LAC,31,WR,11,11,2,6,0,1,100.0,4,3.0,0.5,2
Lynn Bowden Jr.,NOR,26,WR,9,0,2,40,0,2,100.0,29,20.0,4.4,0
Teddy Bridgewater,DET,31,QB,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,0
Chase Brown,CIN,23,RB,6,0,2,6,0,0,0.0,4,3.0,1.0,0
Marquise Brown,ARI,26,WR,12,12,2,23,0,1,50.0,29,11.5,1.9,0
Treylon Burks,TEN,23,WR,5,5,2,14,0,0,100.0,9,7.0,2.8,0
D'Wayne Eskridge,SEA,26,WR,4,0,2,5,0,1,50.0,10,2.5,1.3,0
Chris Evans,CIN,26,RB,8,0,2,12,0,0,0.0,7,6.0,1.5,0
Gerald Everett,LAC,29,TE,9,6,2,4,0,0,0.0,2,2.0,0.4,2
Jake Funk,IND,25,RB,4,0,2,10,0,0,0.0,7,5.0,2.5,0
Blaine Gabbert,KAN,34,QB,1,0,2,-1,0,0,0.0,0,-0.5,-1.0,0
Derrick Gore,WAS,29,RB,3,0,2,23,0,1,50.0,23,11.5,7.7,0
Alec Ingold,MIA,27,FB,11,8,2,0,0,0,0.0,0,0.0,0.0,0
Ray-Ray McCloud,SFO,27,WR,11,1,2,23,0,2,100.0,15,11.5,2.1,1
